id,county,pop_over_25,median_income,median_income_no_hs,median_income_hs,median_income_some_college,median_income_college,median_income_graduate_degree
13045,"Carroll County, Georgia",68471,31988,20313,26944,34722,46460,57090
13047,"Catoosa County, Georgia",43855,30965,21194,26218,35824,41063,52879
13051,"Chatham County, Georgia",179393,31173,16761,23237,29290,43406,51624
13055,"Chattooga County, Georgia",17576,27344,21262,26959,31178,44620,54808
13057,"Cherokee County, Georgia",144280,39842,19778,29272,36740,55942,61191
13059,"Clarke County, Georgia",63789,27049,14395,23279,23552,32776,46699
13063,"Clayton County, Georgia",160690,26965,18180,24605,29112,37717,49297
13067,"Cobb County, Georgia",464406,40541,17575,26188,32826,54118,65135
13069,"Coffee County, Georgia",27398,28016,20268,24599,32304,40111,51845
13071,"Colquitt County, Georgia",29077,25338,17151,22253,26454,39963,50769
13073,"Columbia County, Georgia",85417,41886,21297,28807,37291,55975,65040
13077,"Coweta County, Georgia",85930,40878,20547,28539,40151,56945,61283
13081,"Crisp County, Georgia",15323,25930,8229,25345,25550,40347,46667
13085,"Dawson County, Georgia",15589,36021,17626,33621,28466,54129,71076
13087,"Decatur County, Georgia",18031,26111,20796,24131,25825,38308,52188
13089,"DeKalb County, Georgia",470634,35261,16815,23611,30516,50292,64937
13091,"Dodge County, Georgia",14279,30221,15515,26365,28603,52459,60890
13095,"Dougherty County, Georgia",58226,25364,15027,21863,25330,36525,48590
13097,"Douglas County, Georgia",85347,34489,18193,30776,33251,45382,55724
13103,"Effingham County, Georgia",34190,39807,22044,31965,41246,54005,55139
13105,"Elbert County, Georgia",13522,25668,20380,25077,35660,45444,53884
13107,"Emanuel County, Georgia",14862,27334,23036,24478,24563,34935,60417
13111,"Fannin County, Georgia",17733,24774,24295,20467,30130,41500,54110
13113,"Fayette County, Georgia",71946,44669,21245,30967,37037,55649,72436
13115,"Floyd County, Georgia",62780,28141,16425,25403,30034,39747,57044
13117,"Forsyth County, Georgia",120312,45787,18375,24627,37444,67099,79029
13119,"Franklin County, Georgia",15095,28471,21684,24308,31018,42910,54448
13121,"Fulton County, Georgia",637731,41332,17243,24501,31091,54145,73000
13123,"Gilmer County, Georgia",20286,23832,17190,20430,29434,37386,53325
13127,"Glynn County, Georgia",55099,28212,14821,25160,29482,37479,52313
13129,"Gordon County, Georgia",36195,30491,24118,29801,31521,41758,55421
13131,"Grady County, Georgia",16689,27209,17012,23670,28530,39295,52857
13135,"Gwinnett County, Georgia",527546,35245,20107,26321,33191,50619,61700
13137,"Habersham County, Georgia",29178,27225,17020,25599,29811,44881,45335
13139,"Hall County, Georgia",117156,29897,20553,26174,31622,50423,62016
13143,"Haralson County, Georgia",18895,31797,22367,27453,32272,41713,46993
13145,"Harris County, Georgia",22566,35833,25100,25686,32083,66875,67801
13147,"Hart County, Georgia",17645,30186,20474,26987,29661,54589,61250
13151,"Henry County, Georgia",130839,37040,21835,30585,35858,50621,61602
13153,"Houston County, Georgia",93398,35406,20531,25971,36654,52016,63002
13157,"Jackson County, Georgia",40172,32183,20984,30168,38449,43914,49193
13169,"Jones County, Georgia",18936,32254,22050,31150,31919,39531,64412
13175,"Laurens County, Georgia",31832,30107,20470,25747,30439,37262,54470
13177,"Lee County, Georgia",18657,38073,20652,31199,38848,54508,51478
13179,"Liberty County, Georgia",36011,32271,13114,30207,31093,41777,53237
13185,"Lowndes County, Georgia",63736,28432,15232,24614,28398,36926,53457
13187,"Lumpkin County, Georgia",20028,30732,19155,25126,32079,24544,48011
13189,"McDuffie County, Georgia",14123,27280,20413,27275,29542,48438,41782
13195,"Madison County, Georgia",19163,30098,21732,27149,30792,43166,47345
13199,"Meriwether County, Georgia",14740,25867,20043,27252,25819,35321,30272
13205,"Mitchell County, Georgia",15270,23488,15266,21426,27656,45655,42356
13207,"Monroe County, Georgia",18655,31680,14559,25909,31574,53143,51629
13213,"Murray County, Georgia",25692,27373,21489,26703,28303,36413,50580
13215,"Muscogee County, Georgia",125355,29486,16280,22304,28529,41628,60532
13217,"Newton County, Georgia",63668,34681,20946,31698,32238,41583,50581
13219,"Oconee County, Georgia",21832,40514,17233,28307,33945,48390,60914
13223,"Paulding County, Georgia",91019,37305,20017,32136,35370,45630,60125
13225,"Peach County, Georgia",16290,30715,17479,24069,30163,49226,63231
