serial,opeid,institution,address,city,state,zip,repayment_borrowers,default_borrowers,default_rate,borrower_default_count_240,principal_outstanding_240
832,1195000,Corcoran College of Art and Design,500 17th Street  NW,Washington,DC,20006-4804,69,5,7.25%,27,50878
837,144300,Gallaudet University,800 Florida Avenue NorthEast,Washington,DC,20002-3695,86,6,6.98%,75,178943
839,144400,George Washington University,2121 Eye Street Northwest,Washington,DC,20052-2353,960,34,3.54%,599,2043883
840,144500,Georgetown University,37th and O Streets NW,Washington,DC,20057-1252,515,14,2.72%,179,1185166
841,144800,Howard University,2400 Sixth Street  NW,Washington,DC,20059-0001,59,8,13.56%,275,850546
848,145900,Strayer University,1133 15th  Street NW,Washington,DC,20005-2603,0,0,0%,63,30322
850,146000,Trinity College,125 Michigan Avenue  Northeast,Washington,DC,20017-1004,98,25,25.51%,58,178731
836,144100,University of the District of Columbia,4200 Connecticut Avenue Northwest,Washington,DC,20008-1175,33,15,45.45%,477,747211
811,142800,Delaware State University,1200 North Dupont Highway,Dover,DE,19901-2277,56,31,55.36%,29,59907
812,2144900,Delaware Technical & Community College,333 Shipley Street - #103,Wilmington,DE,19801-2412,0,0,0%,19,20345
815,1172700,Delaware Technical & Community College,Financial Aid Office,Dover,DE,19901-8736,0,0,0%,5,6194
814,705300,Delaware Technical & Community College - Owens Campus,Rt. 18,Georgetown,DE,19947-0000,0,0,0%,19,23879
816,142900,Goldey-Beacom College,4701 Limestone Road,Wilmington,DE,19808-1993,70,22,31.43%,51,1660072
818,143100,University of Delaware,104 Hullihen Hall,Newark,DE,19716-0099,504,16,3.17%,462,960221
819,143300,Wesley College,120 North State Street,Dover,DE,19901-3875,102,39,38.24%,190,280829
856,1019500,Art Institute of Fort Lauderdale (The),1799 Southeast 17th Street,Fort Lauderdale,FL,33316-3013,250,67,26.80%,898,919435
6199,2215900,ATI Career Training Center,2890 NW 62nd Street,Fort Lauderdale,FL,33309-1785,0,0,0%,22,28742
7310,2293200,ATI Career Training Center,1525 Northwest 167th Street,Miami,FL,33169-5742,0,0,0%,10,27312
857,146600,Barry University,11300 Northeast 2 Avenue,Miami Shores,FL,33161-6628,104,43,41.35%,246,543343
8846,3373300,Beacon College,105 East Main Street,Leesburg,FL,34748-5224,44,0,0%,0,0
859,146700,Bethune Cookman University,640 Dr. Mary McLeod Bethune Blvd,Daytona Beach,FL,32114-3099,0,0,0%,485,349148
5856,2089600,Concorde Career Institute,7960 Arlington Expressway,Jacksonville,FL,32211-7429,27,5,18.52%,41,87612
874,148700,Eckerd College,4200 54th Avenue South,Saint Petersburg,FL,33711-4744,171,22,12.87%,142,186939
877,147900,Embry-Riddle Aeronautical University,600 South Clyde Morris Boulevard,Daytona Beach,FL,32114-3900,430,17,3.95%,168,593650
8506,3108500,Everglades University,5002 T-Rex Avenue,Boca Raton,FL,33431-0000,9,1,11.11%,14,14052
878,789300,Flagler College,74 King Street,Saint Augustine,FL,32085-4342,30,8,26.67%,33,77707
879,148000,Florida Agricultural & Mechanical University,1500 S Martin Luther King Jr Blvd,Tallahassee,FL,32307-3100,94,37,39.36%,602,528429
880,148100,Florida Atlantic University,777 Glades Road,Boca Raton,FL,33431-6498,61,8,13.11%,160,440493
881,148200,Florida College,119 North Glen Arven Avenue,Temple Terrace,FL,33617-5578,41,13,31.71%,92,137270
7960,3008600,Florida College of Natural Health,2001 West Sample Road,Pompano Beach,FL,33064-1342,21,2,9.52%,27,41307
882,146900,Florida Institute of Technology,150 West University Boulevard,Melbourne,FL,32901-6988,248,38,15.32%,186,486275
883,963500,Florida International University,Modesto A. Maidique Campus,Miami,FL,33199-0001,113,30,26.55%,464,565163
7565,2547600,Florida National College,4425 West 20th Avenue,Hialeah,FL,33012-4108,32,3,9.38%,8,7261
887,148800,Florida Southern College,111 Lake Hollingsworth Drive,Lakeland,FL,33801-5698,120,24,20.00%,295,587209
888,148900,Florida State University,211 Wescott Building,Tallahassee,FL,32306-1470,520,34,6.54%,550,1598810
895,149500,Jacksonville University,2800 University Boulevard North,Jacksonville,FL,32211-3394,83,31,37.35%,193,585495
896,149700,Jones College,5353 Arlington Expressway,Jacksonville,FL,32211-5588,5,0,0%,237,502307
6085,2151900,Keiser University,1500 Northwest 49th Street,Fort Lauderdale,FL,33309-3700,62,0,0%,418,387933
904,150500,Lynn University,3601 North Military Trail,Boca Raton,FL,33431-5598,2,0,0%,114,188281
906,150600,Miami Dade College,300 Northeast 2 Avenue,Miami,FL,33132-2297,541,23,4.25%,1534,2859608
5464,887800,Miami International University of Art & Design,1501 Biscayne Boulevard,Miami,FL,33132-1418,42,5,11.90%,155,139940
908,150800,North Florida Community College,325 NW Turner Davis Drive,Madison,FL,32340-1699,0,0,0%,57,11228
909,150900,Nova Southeastern University,3301 College Avenue,Fort Lauderdale,FL,33314-7796,166,7,4.22%,151,409855
911,884900,Palm Beach Atlantic University,901 South Flagler Drive,West Palm Beach,FL,33401-6505,37,4,10.81%,66,119028
918,151500,Rollins College,1000 Holt Avenue,Winter Park,FL,32789-4499,68,17,25.00%,93,205839
923,152600,Saint Leo University,33701 State Road 52,Saint Leo,FL,33574-6665,93,34,36.56%,166,398909
860,146800,Saint Thomas University,16401 N W 37th Avenue,Miami Gardens,FL,33054-0000,129,19,14.73%,367,983746
8509,3123900,Southeastern College,6812 Forest Hill Blvd D1,Greenacres,FL,33413-0000,13,1,7.69%,14,10358
932,152100,Southeastern University,1000 Longfellow Boulevard,Lakeland,FL,33801-6099,111,28,25.23%,128,213056
924,152800,St. Petersburg College,6021 142nd Avenue North,Clearwater,FL,33760-3768,0,0,0%,19,26234
933,153100,Stetson University,421 North Woodland Boulevard,DeLand,FL,32723-3761,145,18,12.41%,301,1099234
9082,3549300,Ultimate Medical Academy,1255 Cleveland Street,Clearwater,FL,33756-4917,2766,273,9.87%,0,0
889,395400,University of Central Florida,4000 Central Florida Boulevard,Orlando,FL,32816-0001,275,33,12.00%,380,903270
939,153500,University of Florida,226 Tigert Hall,Gainesville,FL,32611-3150,1026,54,5.26%,988,2939499
940,153600,University of Miami,1204 Dickinson Drive,Coral Gables,FL,33146-6531,1081,88,8.14%,1458,3540282
942,153700,University of South Florida,4202 East Fowler Avenue,Tampa,FL,33620-6960,408,57,13.97%,675,1209448
943,153800,University of Tampa,401 West Kennedy Boulevard,Tampa,FL,33606-1490,137,13,9.49%,162,196934
944,395500,University of West Florida (The),11000 University Parkway,Pensacola,FL,32514-5750,134,21,15.67%,267,636434
946,884800,Warner University,13895  Highway 27,Lake Wales,FL,33859-8725,31,3,9.68%,20,42664
948,154000,Webber International University,1201 Scenic Highway,Babson Park,FL,33827-0096,24,4,16.67%,46,66562
949,154100,Abraham Baldwin Agricultural College,2802 Moore Highway,Tifton,GA,31793-2601,0,0,0%,243,291790
953,154400,Albany State University,504 College Drive,Albany,GA,31705-2796,32,8,25.00%,159,106875
957,154600,Armstrong Atlantic State University,11935 Abercorn Street,Savannah,GA,31419-1997,0,0,0%,9,3382
1019,927000,Art Institute of Atlanta (The),6600 Peachtree Dunwoody Road,Atlanta,GA,30328-1649,219,96,43.84%,1368,1390359
967,155200,Augusta State University,2500 Walton Way,Augusta,GA,30904-2200,31,4,12.90%,136,154856
971,155400,Berry College,2277 Martha Berry Highway NW,Mount Berry,GA,30149-5007,67,4,5.97%,18,67258
975,155600,Brenau University,500 Washington Street  SE,Gainesville,GA,30501-3668,95,16,16.84%,86,153620
976,155700,Brewton Parker College,201 David Eliza Fountain Circle,Mount Vernon,GA,30445-0000,40,20,50.00%,138,108644
6093,2060900,Brown College of Court Reporting,1900 Emery Street Northwest,Atlanta,GA,30318-2570,58,6,10.34%,63,75557
7941,155900,Clark Atlanta University,223 James P. Brawley Drive SW,Atlanta,GA,30314-4385,222,103,46.40%,827,2096341
982,897600,Clayton State University,2000 Clayton State Boulevard,Morrow,GA,30260-0285,0,0,0%,2,1770
984,156100,Columbus State University,4225 University Avenue,Columbus,GA,31907-5645,119,22,18.49%,133,183625
987,348400,Covenant College,14049 Scenic Highway,Lookout Mountain,GA,30750-4164,100,7,7.00%,88,178638
997,156400,Emory University,200 Dowman Drive Suite 300,Atlanta,GA,30322-1960,392,16,4.08%,125,615399
999,156600,Fort Valley State University,1005 State University Drive,Fort Valley,GA,31030-3298,102,44,43.14%,591,810604
1001,160200,Georgia College & State University,231 West Hancock Street,Milledgeville,GA,31061-0490,160,14,8.75%,47,146007
1020,157900,Georgia Health Sciences University,1120 Fifteenth Street,Augusta,GA,30912-0004,174,4,2.30%,13,25167
1002,156900,Georgia Institute of Technology,225 North Avenue Northwest,Atlanta,GA,30332-0325,195,7,3.59%,101,360613
1004,157200,Georgia Southern University,Rosenwald Bldg  Sweetheart Circle,Statesboro,GA,30460-8065,208,37,17.79%,295,465215
1005,157300,Georgia Southwestern State University,800 GSW University Drive,Americus,GA,31709-4693,58,11,18.97%,78,156888
1006,157400,Georgia State University,30 Courtland Street,Atlanta,GA,30303-3010,232,27,11.64%,701,1397099
1012,156800,Interdenominational Theological Center,700 Martin Luther King Jr Drive SW,Atlanta,GA,30314-4143,7,1,14.29%,43,64229
1013,157700,Kennesaw State University,1000 Chastain Road,Kennesaw,GA,30144-5591,39,9,23.08%,109,126450
1014,157800,LaGrange College,601 Broad Street,LaGrange,GA,30240-2999,56,11,19.64%,61,105394
5611,2074800,Life University,1269 Barclay Circle,Marietta,GA,30060-2996,272,39,14.34%,397,1509820
1022,158000,Mercer University,1400 Coleman Avenue,Macon,GA,31207-0001,267,19,7.12%,142,524549
1023,158100,Middle Georgia College,1100 Second Street SE,Cochran,GA,31014-1599,12,3,25.00%,0,0
1024,158200,Morehouse College,830 Westview Drive SW,Atlanta,GA,30314-3773,57,25,43.86%,1243,1682670
6094,2482100,Morehouse School of Medicine,720 Westview Drive Southwest,Atlanta,GA,30310-1495,50,0,0%,47,293145
1028,158500,North Georgia College & State University,82 College Circle,Dahlonega,GA,30597-0001,102,23,22.55%,62,138442
1030,158600,Oglethorpe University,4484 Peachtree Road  Northeast,Atlanta,GA,30319-2737,36,11,30.56%,82,184550
1031,158700,Paine College,1235 Fifteenth Street,Augusta,GA,30901-3182,28,14,50.00%,269,237205
1039,159000,Savannah State University,3219 College Street,Savannah,GA,31404-5298,42,16,38.10%,325,369592
1041,159100,Shorter University,315 Shorter Avenue,Rome,GA,30165-4298,10,4,40.00%,138,265971
4731,1303900,South University,709 Mall Boulevard,Savannah,GA,31406-4881,57,2,3.51%,386,464637
5798,157000,Southern Polytechnic State University,1100 South Marietta Parkway,Marietta,GA,30060-2896,3,1,33.33%,44,72603
1044,159400,Spelman College,350 Spelman Lane Southwest,Atlanta,GA,30314-4399,108,3,2.78%,201,400220
1049,159600,Toccoa Falls College,325 Chapel Drive,Toccoa Falls,GA,30598-0001,13,1,7.69%,32,51958
1051,159800,University of Georgia,Administration Building,Athens,GA,30602-1661,369,13,3.52%,116,379434
1059,160100,University of West Georgia,1601 Maple Street,Carrollton,GA,30118-0002,147,45,30.61%,476,497926
1058,160000,Wesleyan College,4760 Forsyth Road,Macon,GA,31210-4462,67,16,23.88%,57,131690
1063,160500,Chaminade University of Honolulu,3140 Waialae Avenue,Honolulu,HI,96816-1578,101,48,47.52%,217,586930
1067,727900,Hawaii Pacific University,1164 Bishop Street,Honolulu,HI,96813-2882,188,22,11.70%,175,353485
1071,161200,Honolulu Community College,874 Dillingham Boulevard,Honolulu,HI,96817-4598,58,16,27.59%,184,253501
1073,161300,Kapiolani Community College,4303 Diamond Head Road,Honolulu,HI,96816-4421,64,14,21.88%,66,92726
1074,161400,Kauai Community College,3-1901 Kaumualii Highway,Lihue,HI,96766-9591,0,0,0%,1,1267
1075,454900,Leeward Community College,96-045 Ala Ike,Pearl City,HI,96782-3393,20,5,25.00%,37,39155
1068,161100,University of Hawaii at Hilo,200 West Kawili Street,Hilo,HI,96720-4091,84,11,13.10%,208,514953
1078,161000,University of Hawaii at Manoa,2444 Dole Street,Honolulu,HI,96822-2399,457,44,9.63%,442,1538822
1076,161500,University of Hawaii Maui College,310 West Kaahumanu Avenue,Kahului,HI,96732-1644,49,15,30.61%,71,126740
1080,1122000,Windward Community College,45-720 Keaahala Road,Kaneohe,HI,96744-3528,25,5,20.00%,17,25455
8408,3069100,Allen College,1825 Logan Avenue,Waterloo,IA,50703-1916,2,0,0%,0,0
